title,year,rating,genres,description,director,url
Ah-ga-ssi,,8.1,"Drama, Romance, Thriller","In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her ...",Park Chan-wook,https://www.imdb.com/title/tt4016934/
To Be or Not to Be,,8.1,"Comedy, Romance, War","During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier&apos;s efforts to track down a German spy.",Ernst Lubitsch,https://www.imdb.com/title/tt0035446/
Koe no katachi,,8.1,"Animation, Drama","A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to mak...",Naoko Yamada,https://www.imdb.com/title/tt5323662/
La battaglia di Algeri,,8.1,"Drama, War","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,https://www.imdb.com/title/tt0058946/
The Grapes of Wrath,,8.1,Drama,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",John Ford,https://www.imdb.com/title/tt0032551/
Into the Wild,,8.0,"Adventure, Biography, Drama","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.",Sean Penn,https://www.imdb.com/title/tt0758758/
Groundhog Day,,8.0,"Comedy, Drama, Fantasy","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",Harold Ramis,https://www.imdb.com/title/tt0107048/
The Help,,8.1,Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids&apos; point of view on the white families for which they work, and the hardships they go through on a daily b...",Tate Taylor,https://www.imdb.com/title/tt1454029/
Amores perros,,8.0,"Drama, Thriller","An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",Alejandro G. Iñárritu,https://www.imdb.com/title/tt0245712/
Laapataa Ladies,,8.3,"Comedy, Drama","The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments.",Kiran Rao,https://www.imdb.com/title/tt21626284/
Gangs of Wasseypur,,8.2,"Action, Comedy, Crime","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,https://www.imdb.com/title/tt1954470/
